FacilityID,FacilityType,Longitude,Latitude,Builtyear,Spannumber,Spanlength_m,Structurelength_m,Deckwidth_m,Skew_deg,Facility_Description,NBIclass,HAZUSclass,Customclass,Vs30,Rhypo,im,State,Repair_Cost,RepairTime
06_55C0278,Bridge,-117.9292861,33.84706389,1959,2,3.4,10.7,22.5,99,2-span;99.0 deg skew;10.7 m structure Length;3.4 m Max Span Length; Built 1959;NBI 119,119,HWB5,Unknown,760,7.390485656,356.2722496,Moderate,22765.28734,24
06_55C0384,Bridge,-117.9245389,33.86825,1970,4,13.1,46.3,10.4,0,4-span;0.0 deg skew;46.3 m structure Length;13.1 m Max Span Length; Built 1970;NBI 201,201,HWB10,MCRC-Slab,760,6.158361976,483.2456467,Moderate,52664.22729,25
06_55 0418,Bridge,-117.8705472,33.84784722,1967,3,44.2,109.4,19.8,99,3-span;99.0 deg skew;109.4 m structure Length;44.2 m Max Span Length; Built 1967;NBI 302,302,HWB12,MSSTEEL,760,10.17148621,194.7958311,Moderate,224615.3593,22
06_55C0303,Bridge,-117.8312139,33.86658889,1965,2,3,6.7,12.8,0,2-span;0.0 deg skew;6.7 m structure Length;3 m Max Span Length; Built 1965;NBI 119,119,HWB5,Unknown,760,12.37002712,130.0697511,Moderate,10183.14977,19
06_53 0279,Bridge,-118.0161556,33.87739444,1934,3,12.8,26.8,33.7,9,3-span;9.0 deg skew;26.8 m structure Length;12.8 m Max Span Length; Built 1934;NBI 104,104,HWB5,Unknown,760,8.111489153,301.376108,Moderate,79765.40281,26
06_55 0296R,Bridge,-117.9766306,33.85683889,1958,3,31.4,53.1,25.6,2,3-span;2.0 deg skew;53.1 m structure Length;31.4 m Max Span Length; Built 1958;NBI 302,302,HWB12,MSSTEEL,760,6.886626288,402.3851181,Moderate,150604.6835,25
06_55 0070,Bridge,-117.9981361,33.87723889,1925,2,6.1,13.4,29.3,99,2-span;99.0 deg skew;13.4 m structure Length;6.1 m Max Span Length; Built 1925;NBI 201,201,HWB10,MCRC-Slab,760,6.940909825,397.0665063,Moderate,42790.53485,22
06_55 0087R,Bridge,-117.9910556,33.86281667,1957,3,8.8,23.3,28.8,37,3-span;37.0 deg skew;23.3 m structure Length;8.8 m Max Span Length; Built 1957;NBI 201,201,HWB10,MCRC-Slab,760,7.137600033,378.5255236,Slight,25182.07814,7
06_55 0491,Bridge,-117.9116861,33.85359444,1959,3,2.4,7.9,32.1,15,3-span;15.0 deg skew;7.9 m structure Length;2.4 m Max Span Length; Built 1959;NBI 119,119,HWB5,Unknown,760,7.513392757,346.0584695,Slight,8986.652001,5
06_55C0235,Bridge,-117.9469972,33.86646667,1958,1,14.9,15.2,23.2,57,1-span;57.0 deg skew;15.2 m structure Length;14.9 m Max Span Length; Built 1958;NBI 501,501,HWB3,Unknown,760,5.811507488,528.9070972,Slight,10571.76449,4
06_53C0150,Bridge,-118.0163639,33.87756944,1950,3,12.5,26.8,10.2,10,3-span;10.0 deg skew;26.8 m structure Length;12.5 m Max Span Length; Built 1950;NBI 201,201,HWB10,MCRC-Slab,760,8.121927961,300.664201,Slight,10708.4935,2
06_55 0279,Bridge,-117.9420389,33.853925,1958,4,15.8,49.5,44.3,0,4-span;0.0 deg skew;49.5 m structure Length;15.8 m Max Span Length; Built 1958;NBI 302,302,HWB12,MSSTEEL,760,6.661864133,425.3894188,Slight,70864.9018,6
06_55 0449,Bridge,-117.878725,33.86739722,1969,3,21,48.8,55,5,3-span;5.0 deg skew;48.8 m structure Length;21 m Max Span Length; Built 1969;NBI 203,203,HWB10,Unknown,760,8.711487289,263.7587571,Slight,97798.2844,5
06_55 0910,Bridge,-117.9517278,33.84161389,2002,2,4.9,9.8,62,99,2-span;99.0 deg skew;9.8 m structure Length;4.9 m Max Span Length; Built 2002;NBI 119,119,HWB7,Unknown,760,7.596852464,339.3353943,Slight,22987.36154,4
06_55 0245,Bridge,-117.9069806,33.85364722,1959,4,12.8,41.3,44.3,0,4-span;0.0 deg skew;41.3 m structure Length;12.8 m Max Span Length; Built 1959;NBI 302,302,HWB12,MSSTEEL,760,7.721870027,329.5741161,Slight,64765.91926,2
06_55C0302,Bridge,-117.8370472,33.86719444,1965,2,3.1,6.7,12.7,12,2-span;12.0 deg skew;6.7 m structure Length;3.1 m Max Span Length; Built 1965;NBI 119,119,HWB5,Unknown,760,11.88057268,141.5800338,Slight,2934.538128,2
06_55 0487,Bridge,-117.9143139,33.85360278,1959,3,2.4,7.9,32.1,15,3-span;15.0 deg skew;7.9 m structure Length;2.4 m Max Span Length; Built 1959;NBI 219,219,HWB10,Unknown,760,7.403022964,355.2129111,Slight,7642.602379,2
06_55C0355,Bridge,-117.8774111,33.85973333,1969,3,3,9.4,5.9,0,3-span;0.0 deg skew;9.4 m structure Length;3 m Max Span Length; Built 1969;NBI 119,119,HWB5,Unknown,760,9.114670373,241.8633037,Slight,2173.183962,5
06_55C0068,Bridge,-117.8833167,33.85849444,1970,3,3.4,11,31.1,14,3-span;14.0 deg skew;11.0 m structure Length;3.4 m Max Span Length; Built 1970;NBI 119,119,HWB5,Unknown,760,8.783500175,259.6632591,Slight,12853.36055,6
06_55C0017,Bridge,-117.863925,33.83544167,1970,6,23.8,130.1,31.6,8,6-span;8.0 deg skew;130.1 m structure Length;23.8 m Max Span Length; Built 1970;NBI 104,104,HWB5,Unknown,760,11.33682846,156.0882284,Slight,178380.0852,4
