,FacilityID,FacilityType,Longitude,Latitude,Builtyear,Spannumber,Spanlength_m,Structurelength_m,Deckwidth_m,Skew_deg,Facility_Description,NBIclass,HAZUSclass,Customclass,Vs30,Rhypo,im,State,Repair_Cost,RepairTime,exists_in_netfile
69,06_55C0114,Bridge,-117.84238329999998,33.86749722,1967,2,11.0,22.6,34.7,3,2-span;3.0 deg skew;22.6 m structure Length;11 m Max Span Length; Built 1967;NBI 201,201,HWB10,MCRC-Slab,760,11.44395939,153.073102,No Damage,0.0,0,0
70,06_55C0130,Bridge,-117.85255559999999,33.84331667,1963,18,16.8,293.5,26.1,0,18-span;0.0 deg skew;293.5 m structure Length;16.8 m Max Span Length; Built 1963;NBI 204,204,HWB1,Unknown,760,11.65226568,147.4354334,No Damage,0.0,0,1
71,06_55C0147,Bridge,-117.95929720000001,33.86837222,1958,1,8.8,10.1,24.4,0,1-span;0.0 deg skew;10.1 m structure Length;8.8 m Max Span Length; Built 1958;NBI 501,501,HWB3,Unknown,760,5.772091039,534.4301554,No Damage,0.0,0,0
72,06_55C0224,Bridge,-117.95066940000001,33.87544167,1940,1,13.4,13.4,12.8,0,1-span;0.0 deg skew;13.4 m structure Length;13.4 m Max Span Length; Built 1940;NBI 101,101,HWB3,MSRC-Slab,760,5.369394002999999,595.1713921,No Damage,0.0,0,0
73,06_55C0159,Bridge,-117.8704167,33.81655,1967,6,21.9,121.0,24.4,14,6-span;14.0 deg skew;121.0 m structure Length;21.9 m Max Span Length; Built 1967;NBI 204,204,HWB10,Unknown,760,12.27704726,132.1533412,No Damage,0.0,0,1
74,06_55C0168,Bridge,-117.77949720000001,33.80248056,1937,2,4.0,8.5,7.3,0,2-span;0.0 deg skew;8.5 m structure Length;4 m Max Span Length; Built 1937;NBI 702,702,HWB28,Unknown,760,19.31422323,50.73360851,No Damage,0.0,0,0
75,06_55C0184,Bridge,-117.7950861,33.8146,1970,3,21.9,55.8,26.0,18,3-span;18.0 deg skew;55.8 m structure Length;21.9 m Max Span Length; Built 1970;NBI 204,204,HWB10,Unknown,760,17.4511473,62.60187427,No Damage,0.0,0,0
76,06_55C0193,Bridge,-117.99364440000001,33.86146944,1958,1,10.7,11.0,24.7,3,1-span;3.0 deg skew;11.0 m structure Length;10.7 m Max Span Length; Built 1958;NBI 501,501,HWB3,Unknown,760,7.339069916000001,360.65898139999996,No Damage,0.0,0,1
77,06_55C0194,Bridge,-117.98493059999998,33.86398056,1958,1,10.7,11.0,21.9,0,1-span;0.0 deg skew;11.0 m structure Length;10.7 m Max Span Length; Built 1958;NBI 501,501,HWB3,Unknown,760,6.788329436000001,412.24743860000007,No Damage,0.0,0,0
78,06_55C0690,Bridge,-117.78224440000001,33.81029444,2012,1,11.7,12.0,17.8,27,1-span;27.0 deg skew;12.0 m structure Length;11.7 m Max Span Length; Built 2012;NBI 101,101,HWB4,MSRC-Slab,760,18.66474583,54.42474453,No Damage,0.0,0,0
79,06_55C0685,Bridge,-117.90619440000002,33.87399167,1964,1,8.5,9.8,32.8,30,1-span;30.0 deg skew;9.8 m structure Length;8.5 m Max Span Length; Built 1964;NBI 119,119,HWB3,Unknown,760,6.746069401000001,416.58126939999994,No Damage,0.0,0,0
80,06_55C0199,Bridge,-118.01947220000001,33.81906667,1958,1,10.7,11.0,19.5,5,1-span;5.0 deg skew;11.0 m structure Length;10.7 m Max Span Length; Built 1958;NBI 501,501,HWB3,Unknown,760,11.58806611,149.1420542,No Damage,0.0,0,0
